IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,93,4.58
13.236.104.165,2083,80,false,SYD,Oceania,Sydney,93,4.58
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,93,4.57
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,94,4.57
54.253.222.7,2095,80,false,SYD,Oceania,Sydney,93,4.57
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,93,4.56
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,93,4.56
13.114.123.213,80,443,true,KIX,Asia Pacific,Osaka,70,4.56
54.253.222.7,2083,80,false,SYD,Oceania,Sydney,93,4.56
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,93,4.55
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,93,4.54
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,4.54
54.253.222.7,2053,80,false,SYD,Oceania,Sydney,93,4.54
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,93,4.54
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,94,4.52
54.252.91.41,2082,80,false,SYD,Oceania,Sydney,93,4.50
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,93,4.50
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,93,4.49
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,93,4.48
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,93,4.47
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,4.45
54.252.91.41,2053,80,false,SYD,Oceania,Sydney,93,4.41
54.252.91.41,2087,80,false,SYD,Oceania,Sydney,93,4.40
54.252.91.41,2083,80,false,SYD,Oceania,Sydney,93,4.39
54.252.91.41,2096,80,false,SYD,Oceania,Sydney,95,4.38
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,93,4.37
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,93,4.37
54.252.91.41,2052,80,false,SYD,Oceania,Sydney,94,4.36
54.252.91.41,2086,80,false,SYD,Oceania,Sydney,93,4.35
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,93,4.34
54.252.91.41,2095,80,false,SYD,Oceania,Sydney,93,4.32
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,93,4.31
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,93,4.22
99.80.238.19,2096,80,false,DUB,Europe,Dublin,257,3.22
99.80.238.19,2053,80,false,DUB,Europe,Dublin,257,3.21
99.80.238.19,2082,80,false,DUB,Europe,Dublin,257,3.18
99.80.238.19,2052,80,false,DUB,Europe,Dublin,258,3.15
99.80.238.19,2083,80,false,DUB,Europe,Dublin,258,3.13
99.80.238.19,2087,80,false,DUB,Europe,Dublin,257,3.11
99.80.238.19,2095,80,false,DUB,Europe,Dublin,258,3.10
99.80.238.19,2086,80,false,DUB,Europe,Dublin,262,2.92
15.188.168.174,2096,80,false,CDG,Europe,Paris,248,2.04
15.188.168.174,2087,80,false,CDG,Europe,Paris,248,2.03
13.37.165.175,2053,80,false,CDG,Europe,Paris,249,2.01
54.216.89.4,2052,80,false,DUB,Europe,Dublin,257,1.97
15.161.186.110,2083,80,false,MXP,Europe,Milan,265,1.95
15.160.80.28,2052,80,false,MXP,Europe,Milan,265,1.94
15.161.216.233,2053,80,false,MXP,Europe,Milan,266,1.94
15.161.40.69,2052,80,false,MXP,Europe,Milan,266,1.94
15.160.80.28,2086,80,false,MXP,Europe,Milan,266,1.94
15.160.80.28,2082,80,false,MXP,Europe,Milan,266,1.94
15.161.186.110,2053,80,false,MXP,Europe,Milan,266,1.94
15.160.252.181,2083,80,false,MXP,Europe,Milan,266,1.94
15.160.80.28,2083,80,false,MXP,Europe,Milan,265,1.93
15.160.80.28,2087,80,false,MXP,Europe,Milan,266,1.93
15.160.80.28,2095,80,false,MXP,Europe,Milan,267,1.93
15.160.250.170,2087,80,false,MXP,Europe,Milan,265,1.93
15.161.40.69,2083,80,false,MXP,Europe,Milan,264,1.93
15.161.40.69,2095,80,false,MXP,Europe,Milan,264,1.93
15.160.252.181,2087,80,false,MXP,Europe,Milan,266,1.93
15.161.186.110,2052,80,false,MXP,Europe,Milan,263,1.93
15.161.186.110,2082,80,false,MXP,Europe,Milan,264,1.92
15.161.186.110,2087,80,false,MXP,Europe,Milan,266,1.92
15.161.216.233,2096,80,false,MXP,Europe,Milan,264,1.92
15.160.252.181,2095,80,false,MXP,Europe,Milan,264,1.92
15.161.216.233,2087,80,false,MXP,Europe,Milan,264,1.92
15.161.216.233,2095,80,false,MXP,Europe,Milan,270,1.92
15.160.252.181,2096,80,false,MXP,Europe,Milan,266,1.92
15.161.40.69,2053,80,false,MXP,Europe,Milan,267,1.92
15.161.74.249,2087,80,false,MXP,Europe,Milan,266,1.91
15.160.250.170,2086,80,false,MXP,Europe,Milan,266,1.91
15.161.186.110,2086,80,false,MXP,Europe,Milan,266,1.91
15.160.252.181,2053,80,false,MXP,Europe,Milan,266,1.91
15.160.250.170,2053,80,false,MXP,Europe,Milan,265,1.91
15.161.216.233,2082,80,false,MXP,Europe,Milan,266,1.91
15.161.216.233,2086,80,false,MXP,Europe,Milan,266,1.91
15.161.40.69,2096,80,false,MXP,Europe,Milan,266,1.90
15.160.80.28,2096,80,false,MXP,Europe,Milan,265,1.90
15.160.80.28,2053,80,false,MXP,Europe,Milan,264,1.90
15.161.216.233,2052,80,false,MXP,Europe,Milan,263,1.90
15.161.74.249,2095,80,false,MXP,Europe,Milan,265,1.90
15.161.186.110,2095,80,false,MXP,Europe,Milan,263,1.90
15.160.250.170,2096,80,false,MXP,Europe,Milan,264,1.90
15.160.250.170,2052,80,false,MXP,Europe,Milan,265,1.89
15.160.250.170,2095,80,false,MXP,Europe,Milan,265,1.89
15.160.250.170,2083,80,false,MXP,Europe,Milan,266,1.89
15.160.250.170,2082,80,false,MXP,Europe,Milan,267,1.89
13.53.47.110,2082,80,false,ARN,Europe,Stockholm,273,1.89
15.161.74.249,2086,80,false,MXP,Europe,Milan,268,1.88
